County,Population,MalePov18to24,MalePov25to34,FemalePov18to24,FemalePov25to34
"McAllen-Edinburg-Mission, TX Metro Area; Texas",809092,14074,12987,17689,18725
"Midland, TX Metro Area; Texas",154854,740,614,1465,1405
"Mineral Wells, TX Micro Area; Texas",27417,278,244,294,366
"Mount Pleasant, TX Micro Area; Texas",32026,427,348,340,510
"Nacogdoches, TX Micro Area; Texas",60055,1463,981,2131,1085
"Odessa, TX Metro Area; Texas",147464,1023,590,2047,1671
"Palestine, TX Micro Area; Texas",44783,713,309,615,501
"Pampa, TX Micro Area; Texas",21262,169,159,228,268
"Reeves County, Texas",11271,34,19,140,89
"Paris, TX Micro Area; Texas",48762,416,303,668,854
"Pecos, TX Micro Area; Texas",11271,34,19,140,89
"Plainview, TX Micro Area; Texas",32816,366,347,539,580
"Port Lavaca, TX Micro Area; Texas",21388,144,288,277,312
"Raymondville, TX Micro Area; Texas",19486,423,376,497,562
"Rio Grande City, TX Micro Area; Texas",61936,1052,995,1401,1353
"San Angelo, TX Metro Area; Texas",110679,1364,812,1533,1536
"San Antonio-New Braunfels, TX Metro Area; Texas",2243780,22713,17999,27580,29056
"Sherman-Denison, TX Metro Area; Texas",119943,1262,890,1301,1591
"Snyder, TX Micro Area; Texas",15490,69,39,144,150
"Refugio County, Texas",7104,79,53,95,95
"Stephenville, TX Micro Area; Texas",38270,1439,325,2513,421
"Sulphur Springs, TX Micro Area; Texas",35112,218,379,511,697
"Sweetwater, TX Micro Area; Texas",14652,135,171,260,195
"Texarkana, TX-AR Metro Area (part); Texas",87618,972,969,1123,1402
"Tyler, TX Metro Area; Texas",212560,2793,1833,2968,3375
"Uvalde, TX Micro Area; Texas",26326,329,128,369,271
"Vernon, TX Micro Area; Texas",12799,159,174,85,202
"Victoria, TX Metro Area; Texas",95897,879,675,1230,1363
"Waco, TX Metro Area; Texas",247886,5857,2363,6823,4173
"Wichita Falls, TX Metro Area; Texas",136805,1111,1208,2298,2078
"Roberts County, Texas",926,0,0,0,3
"Zapata, TX Micro Area; Texas",14266,383,293,365,571
"Congressional District 1 (114th Congress), Texas",684574,7773,6031,10019,10761
"Congressional District 2 (114th Congress), Texas",736233,4379,5105,5406,7847
"Congressional District 3 (114th Congress), Texas",766031,3799,3427,3699,5119
"Congressional District 4 (114th Congress), Texas",696042,6167,5668,7821,9320
"Congressional District 5 (114th Congress), Texas",699305,5742,6617,7562,11603
"Congressional District 6 (114th Congress), Texas",724016,5729,5378,7820,8676
"Congressional District 7 (114th Congress), Texas",740197,5064,6231,5785,7916
"Congressional District 8 (114th Congress), Texas",723839,6419,4051,8838,7550
"Congressional District 9 (114th Congress), Texas",737604,7762,10259,10983,14753
"Robertson County, Texas",16335,114,116,230,148
"Congressional District 10 (114th Congress), Texas",746745,5447,5005,7249,8242
"Congressional District 11 (114th Congress), Texas",710594,5884,4200,9199,8015
"Congressional District 12 (114th Congress), Texas",726842,5195,4720,8485,8108
"Congressional District 13 (114th Congress), Texas",670618,5924,5639,8750,9881
"Congressional District 14 (114th Congress), Texas",684866,5104,5455,8152,9604
"Congressional District 15 (114th Congress), Texas",724405,10644,10640,14663,14592
"Congressional District 16 (114th Congress), Texas",713663,8111,7058,10215,11086
"Congressional District 17 (114th Congress), Texas",698066,21222,6831,24197,10533
"Congressional District 18 (114th Congress), Texas",715478,7882,9100,10867,15747
"Congressional District 19 (114th Congress), Texas",671254,13699,5619,15041,9714
"Bandera County, Texas",20448,63,100,100,202
"Rockwall County, Texas",84703,165,386,536,469
"Congressional District 20 (114th Congress), Texas",734868,10231,7658,13261,11253
"Congressional District 21 (114th Congress), Texas",729722,11862,5318,12724,7046
"Congressional District 22 (114th Congress), Texas",778659,3113,2815,4135,5607
"Congressional District 23 (114th Congress), Texas",709434,6972,4759,8232,10454
"Congressional District 24 (114th Congress), Texas",743273,4026,5201,5041,8477
"Congressional District 25 (114th Congress), Texas",705329,5133,5059,9524,7509
"Congressional District 26 (114th Congress), Texas",758127,5941,3634,7751,5714
"Congressional District 27 (114th Congress), Texas",704958,6148,5085,8809,10367
"Congressional District 28 (114th Congress), Texas",722094,9653,8424,11990,13692
"Congressional District 29 (114th Congress), Texas",727175,8978,10011,11920,16402
"Runnels County, Texas",10197,155,88,83,161
"Congressional District 30 (114th Congress), Texas",716602,6933,7776,10661,15027
"Congressional District 31 (114th Congress), Texas",745142,4063,5667,5644,7571
"Congressional District 32 (114th Congress), Texas",726741,7720,5891,8136,8876
"Congressional District 33 (114th Congress), Texas",713934,8739,11456,11126,17172
"Congressional District 34 (114th Congress), Texas",696559,11103,9827,13202,14897
"Congressional District 35 (114th Congress), Texas",740246,14390,10303,15483,14316
"Congressional District 36 (114th Congress), Texas",700617,5305,4798,6365,8878
"Rusk County, Texas",48708,238,370,582,775
"Sabine County, Texas",10354,202,71,85,203
"San Augustine County, Texas",8475,13,144,64,155
"San Jacinto County, Texas",26776,292,129,433,364
"San Patricio County, Texas",65210,431,407,820,707
"San Saba County, Texas",5197,56,39,15,43
"Schleicher County, Texas",3224,50,23,18,49
"Scurry County, Texas",15490,69,39,144,150
"Bastrop County, Texas",74482,293,469,658,1040
"Shackelford County, Texas",3325,55,44,38,11
"Shelby County, Texas",25427,203,239,289,330
"Sherman County, Texas",3031,9,13,23,45
"Smith County, Texas",212560,2793,1833,2968,3375
"Somervell County, Texas",8360,29,42,148,58
"Starr County, Texas",61936,1052,995,1401,1353
"Stephens County, Texas",8756,57,27,122,153
"Sterling County, Texas",1298,0,25,0,38
"Stonewall County, Texas",1356,0,0,0,22
"Sutton County, Texas",3917,0,0,45,35
"Baylor County, Texas",3555,9,27,24,9
"Swisher County, Texas",7064,149,34,115,113
"Tarrant County, Texas",1889101,15813,16617,21417,25184
"Taylor County, Texas",128568,2236,934,3147,1915
"Terrell County, Texas",921,0,5,0,10
"Terry County, Texas",11492,140,47,182,77
"Throckmorton County, Texas",1520,12,15,9,10
"Titus County, Texas",32026,427,348,340,510
"Tom Green County, Texas",109035,1350,805,1527,1524
"Travis County, Texas",1098344,17975,12430,21202,17533
"Trinity County, Texas",14277,98,62,148,114
"Bee County, Texas",24858,310,170,282,410
"Tyler County, Texas",18864,175,158,137,197
"Upshur County, Texas",39445,146,227,312,342
"Upton County, Texas",3337,49,36,28,90
"Uvalde County, Texas",26326,329,128,369,271
"Val Verde County, Texas",47218,450,311,629,597
"Van Zandt County, Texas",51954,180,364,573,691
"Victoria County, Texas",88582,874,566,1177,1287
"Walker County, Texas",48986,2464,342,2996,789
"Waller County, Texas",41147,1014,255,1009,485
"Ward County, Texas",11082,117,92,70,208
"Bell County, Texas",316707,2296,3387,3479,4958
"Washington County, Texas",32140,214,124,222,245
"Webb County, Texas",259182,4043,3762,5105,6172
"Wharton County, Texas",40714,150,358,455,567
"Wheeler County, Texas",5498,39,49,25,56
"Wichita County, Texas",117789,969,1041,2160,1928
"Wilbarger County, Texas",12799,159,174,85,202
"Willacy County, Texas",19486,423,376,497,562
"Williamson County, Texas",468529,1875,2529,2488,2964
"Wilson County, Texas",44648,188,144,360,351
"Winkler County, Texas",7460,9,28,56,123
"Bexar County, Texas",1790973,20653,16211,24439,25489
"Wise County, Texas",59925,309,250,369,863
"Wood County, Texas",41308,240,188,259,406
"Yoakum County, Texas",8202,25,5,8,77
"Young County, Texas",18056,124,114,112,217
"Zapata County, Texas",14266,383,293,365,571
"Zavala County, Texas",11806,113,83,281,278
"Abbott city, Texas",390,0,0,0,5
"Abernathy city, Texas",3265,0,21,75,48
"Abilene city, Texas",109366,2186,902,3043,1857
"Abram CDP, Texas",1910,34,11,21,10
"Blanco County, Texas",10569,79,32,46,65
"Ackerly city, Texas",182,0,1,1,3
"Addison town, Texas",15087,118,230,139,170
"Adrian city, Texas",183,0,0,0,0
"Agua Dulce CDP, Texas",2857,55,110,87,45
"Agua Dulce city, Texas",832,6,0,7,0
"Aguilares CDP, Texas",44,0,0,0,0
"Airport Heights CDP, Texas",102,0,0,0,7
"Airport Road Addition CDP, Texas",111,0,0,0,0
"Alamo city, Texas",18895,238,306,187,385
"Alamo Heights city, Texas",7526,53,60,35,38
"Borden County, Texas",702,0,0,0,1
"Alba town, Texas",857,0,8,8,67
"Albany city, Texas",2185,27,44,34,0
"Aldine CDP, Texas",15237,401,425,324,455
"Aledo city, Texas",2999,9,0,3,11
"Alfred CDP, Texas",108,57,0,0,0
"Alice city, Texas",19083,101,141,371,326
"Alice Acres CDP, Texas",340,0,0,0,63
"Allen city, Texas",91957,342,164,347,532
"Alma town, Texas",448,0,0,2,0
"Alpine city, Texas",5918,94,39,92,73
"Bosque County, Texas",17578,77,114,169,154
"Alto town, Texas",1227,14,10,56,16
"Alto Bonito Heights CDP, Texas",116,0,0,0,0
"Alton city, Texas",15088,522,254,324,496
"Alvarado city, Texas",3785,40,17,55,42
"Alvin city, Texas",25098,160,154,397,452
"Alvord town, Texas",1550,21,8,18,33
"Amada Acres CDP, Texas",0,0,0,0,0
"Amargosa CDP, Texas",15,0,0,0,0
"Amarillo city, Texas",194367,1621,1937,2774,3291
"Amaya CDP, Texas",25,0,0,0,0
Texas -- In metropolitan or micropolitan statistical area,24587110,262631,220214,334755,355243
"Bowie County, Texas",87618,972,969,1123,1402
"Ames city, Texas",1216,24,33,26,42
"Amherst city, Texas",920,10,0,31,13
"Amistad CDP, Texas",10,0,0,0,0
"Anacua CDP, Texas",14,0,0,0,0
"Anahuac city, Texas",1877,67,10,16,54
"Anderson city, Texas",248,0,10,5,0
"Andrews city, Texas",12499,88,65,118,145
"Angleton city, Texas",18838,76,128,188,169
"Angus city, Texas",500,8,2,14,3
"Anna city, Texas",9733,0,90,32,146
"Brazoria County, Texas",320415,1822,1533,2311,2937
"Annetta town, Texas",1358,0,0,25,0
"Annetta North town, Texas",469,1,0,6,0
"Annetta South town, Texas",620,5,0,0,0
"Annona town, Texas",375,5,7,1,2
"Anson city, Texas",2072,14,7,107,17
"Anthony town, Texas",3795,38,63,104,61
"Anton city, Texas",1231,11,7,29,26
"Appleby city, Texas",562,0,0,5,5
"Aquilla city, Texas",166,0,0,0,0
"Aransas Pass city, Texas",7916,41,48,131,105
"Brazos County, Texas",190716,13882,2716,14817,3433
"Archer City city, Texas",1572,17,3,42,15
"Arcola city, Texas",2583,21,53,90,39
"Argyle city, Texas",3612,0,4,17,3
"Arlington city, Texas",375083,4200,4576,5537,6208
"Arp city, Texas",954,2,2,11,21
"Arroyo Colorado Estates CDP, Texas",575,80,0,59,0
"Arroyo Gardens CDP, Texas",403,0,0,0,14
"Asherton city, Texas",967,13,2,36,10
"Aspermont town, Texas",945,0,0,0,22
"Atascocita CDP, Texas",68216,168,143,306,466
"Brewster County, Texas",9153,171,43,137,111
"Athens city, Texas",11697,162,278,180,191
"Atlanta city, Texas",5490,46,39,40,143
"Aubrey city, Texas",2848,6,12,0,20
"Aurora city, Texas",1525,13,22,19,41
"Austin city, Texas",866682,17255,11965,20026,15696
"Austwell city, Texas",123,0,0,0,0
"Avery town, Texas",427,2,8,14,2
"Avinger town, Texas",393,0,0,7,1
"Azle city, Texas",10634,18,70,40,129
"Bacliff CDP, Texas",8753,90,56,150,205
"Briscoe County, Texas",1652,38,1,5,11
"Bailey city, Texas",210,0,3,2,3
"Bailey's Prairie village, Texas",780,8,0,11,0
"Baird city, Texas",1784,42,0,5,40
"Balch Springs city, Texas",24882,286,280,265,626
"Balcones Heights city, Texas",2930,13,23,45,67
"Ballinger city, Texas",3559,44,56,30,72
"Balmorhea city, Texas",584,0,0,0,0
"B and E CDP, Texas",698,54,21,25,0
"Bandera city, Texas",1051,4,11,0,3
"Bangs city, Texas",1629,7,0,15,13
"Brooks County, Texas",6885,235,337,149,150
"Banquete CDP, Texas",684,14,0,0,11
"Bardwell city, Texas",626,2,0,9,5
"Barrera CDP, Texas",0,0,0,0,0
"Barrett CDP, Texas",4720,0,38,0,98
"Barry city, Texas",360,0,2,2,0
"Barstow city, Texas",462,8,0,8,10
"Bartlett city, Texas",1343,11,22,11,12
"Barton Creek CDP, Texas",3221,17,0,16,0
"Bartonville town, Texas",2101,0,3,0,0
"Bastrop city, Texas",7140,0,4,0,103
"Brown County, Texas",35881,306,341,388,420
"Batesville CDP, Texas",1122,21,18,127,8
"Bay City city, Texas",17233,125,87,190,334
"Bayou Vista city, Texas",1861,0,0,0,0
"Bayside town, Texas",417,7,25,0,8
"Baytown city, Texas",74221,861,699,859,1567
"Bayview town, Texas",424,0,1,0,0
"Beach City city, Texas",2438,11,0,0,39
"Bear Creek village, Texas",406,0,0,0,0
"Beasley city, Texas",572,3,9,0,22
"Beaumont city, Texas",114254,1410,1285,2055,2480
"Burleson County, Texas",17004,65,79,206,194
"Beckville city, Texas",966,7,0,23,25
"Bedford city, Texas",48069,311,383,298,234
"Bedias city, Texas",310,2,6,0,0
"Bee Cave city, Texas",5362,0,0,1,0
"Beeville city, Texas",12864,109,136,226,235
"Bellaire city, Texas",17784,0,0,41,7
"Bellevue city, Texas",307,4,0,0,1
"Bellmead city, Texas",9981,31,107,29,344
"Bells town, Texas",1535,20,3,31,36
"Bellville city, Texas",4028,121,0,54,0
"Burnet County, Texas",43703,224,528,547,476
"Belton city, Texas",17936,381,65,495,154
"Benavides city, Texas",1705,19,0,9,43
"Benbrook city, Texas",21983,51,129,170,98
"Benjamin city, Texas",232,0,0,5,7
"Benjamin Perez CDP, Texas",0,0,0,0,0
"Berryville town, Texas",1121,9,7,10,24
"Bertram city, Texas",1415,53,31,9,11
"Beverly Hills city, Texas",1827,33,58,33,62
"Bevil Oaks city, Texas",1308,1,1,0,0
"Bigfoot CDP, Texas",234,0,0,0,0
"Caldwell County, Texas",37099,1037,193,792,390
"Big Lake city, Texas",3114,10,62,5,67
"Big Sandy town, Texas",1817,8,16,15,40
"Big Spring city, Texas",22577,201,87,274,433
"Big Thicket Lake Estates CDP, Texas",639,0,21,16,13
"Big Wells city, Texas",737,3,0,10,5
"Bishop city, Texas",3169,33,32,40,60
"Bishop Hills town, Texas",285,0,0,0,0
"Bixby CDP, Texas",624,0,64,57,0
"Blackwell city, Texas",383,0,4,11,0
"Blanco city, Texas",2244,61,14,13,8
Texas -- In metropolitan statistical area,23061341,243485,206807,308654,331979
"Calhoun County, Texas",21388,144,288,277,312
"Blanket town, Texas",384,0,2,0,7
"Blessing CDP, Texas",994,39,26,18,34
"Bloomburg town, Texas",383,0,4,10,3
"Blooming Grove town, Texas",963,9,19,18,17
"Bloomington CDP, Texas",1923,0,35,0,46
"Blossom city, Texas",1243,18,14,11,18
"Blue Berry Hill CDP, Texas",581,93,0,37,22
"Blue Mound city, Texas",3305,16,0,16,41
"Blue Ridge city, Texas",1138,0,0,14,6
"Bluetown CDP, Texas",287,0,10,4,8
"Callahan County, Texas",13403,98,23,85,195
"Blum town, Texas",462,12,5,9,15
"Boerne city, Texas",11882,40,51,99,80
"Bogata city, Texas",1191,0,0,3,9
"Boling CDP, Texas",959,0,8,0,8
"Bolivar Peninsula CDP, Texas",2196,0,0,0,20
"Bonanza Hills CDP, Texas",121,0,0,0,0
"Bonham city, Texas",7371,82,117,197,104
"Bonney village, Texas",303,0,13,0,10
"Booker town, Texas",1448,5,4,13,29
"Borger city, Texas",12951,54,176,273,263
"Cameron County, Texas",413408,6400,6255,8283,9201
"Botines CDP, Texas",15,0,0,0,0
"Bovina city, Texas",1819,11,17,28,78
"Bowie city, Texas",5008,41,63,44,71
"Box Canyon CDP, Texas",25,0,0,0,0
"Boyd town, Texas",1295,6,9,20,5
"Boys Ranch CDP, Texas",95,0,0,0,0
"Brackettville city, Texas",2026,9,31,21,37
"Brady city, Texas",5330,32,112,32,124
"Brazoria city, Texas",3043,34,0,79,23
"Brazos Bend city, Texas",335,0,0,0,0
"Camp County, Texas",12436,134,95,171,239
"Brazos Country city, Texas",771,0,0,0,0
"Breckenridge city, Texas",5521,57,27,107,106
"Bremond city, Texas",901,26,2,18,19
"Brenham city, Texas",14176,180,58,139,101
"Briar CDP, Texas",4221,127,25,73,0
"Briarcliff village, Texas",1565,6,9,0,4
"Briaroaks city, Texas",548,1,0,4,0
"Bridge City city, Texas",7804,29,107,158,133
"Bridgeport city, Texas",5426,42,15,55,75
"Bristol CDP, Texas",275,0,0,0,0
"Carson County, Texas",5958,0,37,27,50
"Broaddus town, Texas",194,0,0,3,0
"Bronte town, Texas",822,0,0,17,13
"Brookshire city, Texas",4786,0,75,29,52
"Brookside Village city, Texas",1532,0,12,0,13
"Browndell city, Texas",189,4,2,2,10
"Brownfield city, Texas",8527,125,37,159,14
"Brownsboro city, Texas",1039,0,4,14,9
"Brownsville city, Texas",179530,2886,2484,3482,4152
"Brownwood city, Texas",17796,255,246,323,287
"Bruceville-Eddy city, Texas",1613,9,2,3,4
"Cass County, Texas",29814,251,348,364,553
"Brundage CDP, Texas",0,0,0,0,0
"Bruni CDP, Texas",261,0,0,9,3
"Brushy Creek CDP, Texas",21172,74,8,98,30
"Bryan city, Texas",75813,2476,1076,2445,1676
"Bryson city, Texas",536,13,0,10,12
"Buchanan Dam CDP, Texas",1145,0,2,0,15
"Buchanan Lake Village CDP, Texas",722,0,0,0,0
"Buckholts town, Texas",471,13,6,39,13
"Buda city, Texas",10655,95,0,30,0
"Buena Vista CDP, Texas",144,0,31,0,22
"Castro County, Texas",7835,65,45,101,100
"Buffalo city, Texas",2094,51,14,33,60
"Buffalo Gap town, Texas",408,0,4,0,5
"Buffalo Springs village, Texas",375,0,16,10,0
"Bullard town, Texas",2677,0,8,8,0
"Bulverde city, Texas",4646,1,0,0,16
"Buna CDP, Texas",2547,0,0,0,61
"Bunker Hill Village city, Texas",3842,0,0,0,0
"Burkburnett city, Texas",10886,28,93,55,188
"Burke city, Texas",703,0,6,0,0
"Burleson city, Texas",40410,54,68,385,318
"Chambers County, Texas",37008,252,199,95,524
"Burnet city, Texas",5879,0,91,200,155
"Burton city, Texas",393,0,0,0,0
"Butterfield CDP, Texas",83,0,0,5,0
"Byers city, Texas",488,15,0,3,7
"Bynum town, Texas",188,4,2,3,0
"Cactus city, Texas",3210,36,16,77,24
"Caddo Mills city, Texas",1772,0,17,38,45
"Caldwell city, Texas",4041,0,48,43,65
"Callender Lake CDP, Texas",1201,0,0,13,0
"Callisburg city, Texas",339,5,0,0,4
"Cherokee County, Texas",48416,329,475,553,670
"Calvert city, Texas",1301,0,31,58,79
"Camargito CDP, Texas",433,12,14,12,16
"Cameron city, Texas",5227,0,80,79,133
"Cameron Park CDP, Texas",6952,216,196,294,142
"Campbell city, Texas",515,0,5,4,5
"Campo Verde CDP, Texas",183,0,0,0,0
"Camp Swift CDP, Texas",5156,9,0,0,0
"Camp Wood city, Texas",834,46,4,29,0
"Canadian city, Texas",2952,14,26,5,42
"Caney City town, Texas",212,0,5,0,0
"Childress County, Texas",5823,113,76,97,103
"Canton city, Texas",3280,60,23,25,65
"Cantu Addition CDP, Texas",428,0,0,0,9
"Canutillo CDP, Texas",6069,274,210,133,161
"Canyon city, Texas",12739,569,188,611,277
"Canyon Creek CDP, Texas",1438,66,0,0,43
"Canyon Lake CDP, Texas",22660,178,126,89,185
"Cape Royale CDP, Texas",575,0,0,0,0
"Carbon town, Texas",396,0,10,4,11
"Carlsbad CDP, Texas",517,10,6,0,0
"Carl's Corner town, Texas",155,0,1,1,0
Texas -- In metropolitan statistical area -- in principal city,11766898,165102,134303,208406,208486
"Clay County, Texas",10335,77,132,71,89
"Carmine city, Texas",211,0,0,0,0
"Carrizo Hill CDP, Texas",1046,0,0,21,0
"Carrizo Springs city, Texas",5678,0,3,67,135
"Carrollton city, Texas",126594,678,604,731,1093
"Carthage city, Texas",6464,52,60,77,49
"Casa Blanca CDP, Texas",31,0,0,0,0
"Casas CDP, Texas",42,0,0,0,0
"Cashion Community city, Texas",275,0,7,0,7
"Castle Hills city, Texas",4287,33,0,8,5
"Castroville city, Texas",2754,2,7,1,18
"Cochran County, Texas",2948,45,17,42,79
"Catarina CDP, Texas",139,0,0,0,0
"Cedar Hill city, Texas",46532,182,166,383,479
"Cedar Park city, Texas",60713,301,171,192,192
"Cedar Point CDP, Texas",762,0,0,0,0
"Celeste city, Texas",779,3,10,5,16
"Celina city, Texas",6764,69,0,109,71
"Center city, Texas",5076,17,0,17,78
"Centerville city, Texas",894,0,8,5,8
"Central Gardens CDP, Texas",4317,0,19,0,38
"César Chávez CDP, Texas",1700,10,0,44,8
"Coke County, Texas",3110,37,5,38,22
"Chandler city, Texas",2728,9,3,11,9
"Channelview CDP, Texas",39128,278,323,611,833
"Channing city, Texas",207,0,4,0,3
"Chaparrito CDP, Texas",31,0,0,0,0
"Chapeno CDP, Texas",60,0,0,5,0
"Charlotte city, Texas",2017,47,17,29,17
"Chester town, Texas",316,2,1,9,10
"Chico city, Texas",1192,3,30,3,60
"Childress city, Texas",4849,113,69,87,103
"Chillicothe city, Texas",796,12,3,6,0
"Coleman County, Texas",8500,88,76,140,112
"Chilton CDP, Texas",640,0,0,0,5
"China city, Texas",891,4,19,16,14
"China Grove town, Texas",1295,0,0,0,4
"China Spring CDP, Texas",1335,0,24,0,0
"Chireno city, Texas",408,2,2,12,7
"Christine town, Texas",392,6,0,9,10
"Christoval CDP, Texas",309,0,0,0,0
"Chula Vista CDP (Cameron County), Texas",491,0,0,0,85
"Chula Vista CDP (Maverick County), Texas",3438,0,16,55,91
"Chula Vista CDP (Zavala County), Texas",363,0,0,25,51
"Collin County, Texas",857655,4360,3626,4134,5751
"Cibolo city, Texas",23957,65,23,22,62
"Cienegas Terrace CDP, Texas",2836,35,8,96,40
"Cinco Ranch CDP, Texas",16996,12,0,51,19
"Circle D-KC Estates CDP, Texas",1854,0,52,0,49
"Cisco city, Texas",3467,27,28,315,53
"Citrus City CDP, Texas",4108,108,245,151,303
"Clarendon city, Texas",1724,18,7,18,24
"Clarksville city, Texas",2997,0,137,0,55
"Clarksville City city, Texas",711,14,3,7,0
"Claude city, Texas",1149,13,15,6,8
"Collingsworth County, Texas",2986,0,25,48,76
"Clear Lake Shores city, Texas",1232,0,0,0,0
"Cleburne city, Texas",28597,365,234,380,266
"Cleveland city, Texas",7146,64,85,164,142
"Clifton city, Texas",3135,13,40,15,0
"Clint town, Texas",820,25,6,16,17
"Cloverleaf CDP, Texas",23185,302,269,425,551
"Clute city, Texas",11099,92,102,281,203
"Clyde city, Texas",3678,31,17,7,59
"Coahoma town, Texas",745,0,0,0,24
"Cockrell Hill city, Texas",4284,18,59,18,65
"Colorado County, Texas",20379,110,263,130,98
"Coffee City town, Texas",279,0,0,7,2
"Coldspring city, Texas",844,10,2,19,3
"Coleman city, Texas",4474,65,60,114,85
"College Station city, Texas",90258,11087,1537,11889,1608
"Colleyville city, Texas",24411,0,0,12,0
"Collinsville town, Texas",1709,0,0,0,4
"Colmesneil city, Texas",629,2,0,0,0
"Colorado Acres CDP, Texas",98,0,0,0,8
"Colorado City city, Texas",3922,0,28,26,12
"Columbus city, Texas",3369,76,1,40,5
"Comal County, Texas",118403,409,424,665,768
"Comanche city, Texas",4057,47,27,96,51
"Combes town, Texas",3011,39,26,31,40
"Combine city, Texas",2091,1,25,0,10
"Comfort CDP, Texas",3031,0,0,0,0
"Commerce city, Texas",6830,423,285,491,206
"Como town, Texas",770,4,7,10,8
"Concepcion CDP, Texas",39,0,0,0,0
"Conroe city, Texas",61707,360,686,1142,1388
"Converse city, Texas",20321,142,194,13,158
"Cool city, Texas",241,3,0,0,3
"Comanche County, Texas",13397,78,136,210,170
"Coolidge town, Texas",727,19,4,9,11
"Cooper city, Texas",2025,38,79,48,59
"Coppell city, Texas",40556,141,102,75,163
"Copperas Cove city, Texas",32682,131,249,364,358
"Copper Canyon town, Texas",1128,0,0,5,0
"Corinth city, Texas",20577,57,86,162,104
"Corpus Christi city, Texas",309774,3281,2305,3879,5270
"Corral City town, Texas",16,0,0,0,0
"Corrigan town, Texas",1742,7,13,41,33
"Corsicana city, Texas",23185,238,273,442,556
"Concho County, Texas",2678,2,9,5,17
"Cottonwood city, Texas",140,0,0,0,0
"Cottonwood Shores city, Texas",1414,8,0,16,20
"Cotulla city, Texas",3938,0,17,12,83
"Country Acres CDP, Texas",133,0,0,0,0
"Coupland city, Texas",207,0,10,1,9
"Cove city, Texas",451,0,3,0,1
"Covington city, Texas",267,0,7,6,0
"Coyanosa CDP, Texas",211,0,0,0,0
"Coyote Acres CDP, Texas",428,0,0,0,0
"Coyote Flats city, Texas",404,4,0,0,1
Texas -- In metropolitan statistical area -- not in principal city,11294443,78383,72504,100248,123493
"Cooke County, Texas",38047,276,298,366,581
"Crandall city, Texas",3038,21,0,0,24
"Crane city, Texas",3719,13,45,7,50
"Cranfills Gap city, Texas",265,2,0,3,0
"Crawford town, Texas",671,3,10,9,11
"Creedmoor city, Texas",177,0,1,3,2
"Cresson city, Texas",785,0,36,0,2
"Crockett city, Texas",6152,138,57,269,154
"Crosby CDP, Texas",2600,27,83,66,72
"Crosbyton city, Texas",1716,58,17,55,55
"Cross Mountain CDP, Texas",2725,0,0,0,34
"Coryell County, Texas",62379,293,444,684,802
"Cross Plains town, Texas",1187,0,6,43,42
"Cross Roads town, Texas",1005,0,6,7,0
"Cross Timber town, Texas",291,3,0,0,2
"Crowell city, Texas",740,4,4,5,15
"Crowley city, Texas",14144,9,56,39,153
"Crystal City city, Texas",7315,56,54,89,161
"Cuero city, Texas",6699,14,8,79,105
"Cuevitas CDP, Texas",0,0,0,0,0
"Cumby city, Texas",811,7,9,8,17
"Cumings CDP, Texas",1408,0,0,0,0
"Cottle County, Texas",1495,4,0,1,36
"Cuney town, Texas",88,0,11,0,0
"Cushing city, Texas",589,7,0,16,2
"Cut and Shoot city, Texas",1322,6,4,12,4
"Daingerfield city, Texas",2705,3,18,70,55
"Daisetta city, Texas",738,3,0,0,0
"Dalhart city, Texas",8131,21,62,69,153
"Dallas city, Texas",1244646,14810,16806,19813,28009
"Dalworthington Gardens city, Texas",2119,4,8,12,4
"Damon CDP, Texas",549,0,0,31,7
"Danbury city, Texas",1463,2,4,12,0
"Crane County, Texas",4621,26,45,24,50
"Darrouzett town, Texas",389,0,0,8,3
"Dawson town, Texas",789,0,2,8,15
"Dayton city, Texas",7262,70,43,123,128
"Dayton Lakes city, Texas",182,3,0,0,0
"Dean city, Texas",538,2,6,0,7
"Decatur city, Texas",6081,55,0,0,158
"DeCordova city, Texas",2763,0,0,15,0
"Deer Park city, Texas",33045,119,87,159,302
"De Kalb city, Texas",1584,28,9,17,28
"De Leon city, Texas",2171,20,25,35,14
"Crockett County, Texas",3619,57,13,41,23
"Dell City city, Texas",321,0,0,14,6
"Del Mar Heights CDP, Texas",230,0,0,13,0
"Delmita CDP, Texas",108,0,0,0,0
"Del Rio city, Texas",34848,366,279,511,480
"Del Sol CDP, Texas",309,0,0,0,0
"Denison city, Texas",22335,225,168,338,390
"Denton city, Texas",115318,4139,1981,5829,2063
"Denver City town, Texas",4662,0,0,0,63
"Deport city, Texas",495,0,3,0,5
"DeSoto city, Texas",50726,266,162,290,271
"Crosby County, Texas",5921,72,41,122,110
"Detroit town, Texas",767,15,9,15,33
"Devers city, Texas",416,2,2,3,1
"Devine city, Texas",4410,53,0,0,38
"Deweyville CDP, Texas",1075,0,0,18,0
"D'Hanis CDP, Texas",899,0,22,0,18
"Diboll city, Texas",4289,0,0,31,138
"Dickens city, Texas",179,0,0,1,0
"Dickinson city, Texas",19332,144,115,156,123
"Dilley city, Texas",2766,84,53,0,87
"Dimmitt city, Texas",4251,53,41,57,62
"Culberson County, Texas",2283,19,42,55,35
"DISH town, Texas",259,0,0,0,1
"Dodd City town, Texas",375,0,5,3,4
"Dodson town, Texas",94,0,0,1,0
"Doffing CDP, Texas",5629,176,63,232,136
"Domino town, Texas",102,0,0,0,0
